user_id,action_date,action_name,error_message,device
6270,2022-11-23,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
6657,2022-12-21,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
6907,2022-11-21,checkout_annual_completepayment.click.fail,"year field is required",desktop
7034,2022-12-27,checkout_monthly_completepayment.click.fail,"Your card's security code is incorrect.",desktop
7179,2022-08-31,checkout_annual_completepayment.click.fail,"number field is required",desktop
7620,2022-11-21,checkout_monthly_completepayment.click.fail,"Your card does not support this type of purchase.",desktop
7752,2022-10-20,checkout_annual_completepayment.click.fail,"year field is required",desktop
8191,2022-07-09,checkout_annual_completepayment.click.fail,"number field is required",desktop
9100,2023-01-19,checkout_annual_completepayment.click.fail,"year field is required",desktop
9289,2022-09-21,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
9666,2022-07-06,checkout_annual_completepayment.click.fail,"number field is required",desktop
10218,2022-11-21,checkout_annual_completepayment.click.fail,"year field is required",desktop
10313,2022-09-02,checkout_monthly_completepayment.click.fail,"State field is required",desktop
10990,2022-12-29,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
11070,2022-11-24,checkout_annual_completepayment.click.fail,"year field is required",desktop
11793,2022-11-28,checkout_annual_completepayment.click.fail,"year field is required",desktop
12003,2022-07-02,checkout_annual_completepayment.click.fail,"number field is required",desktop
12064,2022-11-30,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
12205,2022-11-21,checkout_monthly_completepayment.click.fail,"year field is required",desktop
12270,2022-08-31,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
12589,2022-12-20,checkout_annual_completepayment.click.fail,"An error occurred while processing your card. Try again in a little bit.",desktop
12900,2022-08-04,checkout_annual_completepayment.click.fail,"number field is required",desktop
12930,2022-11-21,checkout_monthly_completepayment.click.fail,"number field is required",desktop
13344,2022-07-28,checkout_annual_completepayment.click.fail,"Your card is not supported for this currency. Please use a Visa or MasterCard card",desktop
13501,2022-08-31,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",mobile
13695,2022-11-28,checkout_annual_completepayment.click.fail,"month field is required",desktop
14357,2022-09-19,checkout_annual_completepayment.click.fail,"number field is required",mobile
14470,2022-11-28,checkout_annual_completepayment.click.fail,"year field is required",desktop
14514,2022-11-22,checkout_annual_completepayment.click.fail,"year field is required",desktop
14825,2022-12-19,checkout_annual_completepayment.click.fail,"year field is required",desktop
15496,2022-11-04,checkout_annual_completepayment.click.fail,"number field is required",mobile
15501,2022-11-02,checkout_coins_completepayment.click.fail,"number field is required",desktop
15630,2022-11-28,checkout_annual_completepayment.click.fail,"month field is required",desktop
15748,2022-07-28,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",mobile
16647,2022-11-20,checkout_monthly_completepayment.click.fail,"year field is required",desktop
18005,2022-11-21,checkout_monthly_completepayment.click.fail,"lastName field is required",desktop
18288,2022-09-25,checkout_annual_completepayment.click.fail,"lastName field is required",mobile
18493,2022-11-05,checkout_annual_completepayment.click.fail,"number field is required",desktop
18533,2022-11-27,checkout_annual_completepayment.click.fail,"month field is required",desktop
19137,2022-11-28,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",desktop
19193,2022-09-23,checkout_annual_completepayment.click.fail,"year field is required",desktop
19784,2022-12-21,checkout_annual_completepayment.click.fail,"year field is required",mobile
20664,2022-09-10,checkout_quarterly_completepayment.click.fail,"Your card was declined.",desktop
21603,2022-11-22,checkout_annual_completepayment.click.fail,"year field is required",desktop
21966,2022-10-20,checkout_annual_completepayment.click.fail,"month field is required",mobile
23287,2022-10-26,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
27180,2022-11-24,checkout_annual_completepayment.click.fail,"year field is required",desktop
28960,2022-11-23,checkout_annual_completepayment.click.fail,"number field is required",mobile
29545,2022-11-22,checkout_annual_completepayment.click.fail,"number field is required",desktop
30047,2022-07-14,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
31705,2023-01-18,checkout_annual_completepayment.click.fail,"year field is required",mobile
32555,2022-10-21,checkout_monthly_completepayment.click.fail,"Your card does not support this type of purchase.",desktop
33495,2022-09-19,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
33912,2022-11-26,checkout_annual_completepayment.click.fail,"year field is required",desktop
34912,2023-01-19,checkout_annual_completepayment.click.fail,"year field is required",desktop
36947,2022-11-21,checkout_coins_completepayment.click.fail,"number field is required",desktop
37013,2022-11-02,checkout_annual_completepayment.click.fail,"number field is required",mobile
37015,2022-11-30,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
37777,2022-11-21,checkout_monthly_completepayment.click.fail,"number field is required",desktop
40735,2022-07-25,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
41200,2023-01-22,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
42831,2022-11-28,checkout_annual_completepayment.click.fail,"year field is required",desktop
43005,2022-11-22,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
43168,2022-11-06,checkout_coins_completepayment.click.fail,"number field is required",desktop
49292,2022-09-24,checkout_annual_completepayment.click.fail,"Your card was declined.",mobile
49882,2022-11-27,checkout_annual_completepayment.click.fail,"Your card is not supported.",desktop
53122,2022-07-26,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
56469,2022-09-25,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
58558,2022-11-26,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
60411,2022-09-26,checkout_annual_completepayment.click.fail,"month field is required",desktop
60452,2022-07-25,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
67377,2022-09-30,checkout_annual_completepayment.click.fail,"Your card was declined.",mobile
83266,2022-07-25,checkout_monthly_completepayment.click.fail,"State field is required",desktop
85181,2022-11-24,checkout_annual_completepayment.click.fail,"year field is required",desktop
85401,2022-07-28,checkout_annual_completepayment.click.fail,"number field is required",desktop
88208,2023-01-21,checkout_annual_completepayment.click.fail,"number field is required",desktop
91718,2022-11-06,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
98065,2022-12-02,checkout_annual_completepayment.click.fail,"Chargify token not found",desktop
105951,2023-01-26,checkout_annual_completepayment.click.fail,"year field is required",desktop
106157,2022-11-27,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
109318,2022-11-21,checkout_annual_completepayment.click.fail,"year field is required",desktop
110519,2023-01-31,checkout_annual_completepayment.click.fail,"year field is required",mobile
111461,2022-09-06,checkout_monthly_completepayment.click.fail,"Your card has expired.",desktop
112053,2022-11-21,checkout_annual_completepayment.click.fail,"number field is required",desktop
115682,2022-11-02,checkout_annual_completepayment.click.fail,"number field is required",mobile
117652,2022-11-22,checkout_annual_completepayment.click.fail,"year field is required",desktop
118426,2022-11-27,checkout_annual_completepayment.click.fail,"year field is required",desktop
120485,2023-01-08,checkout_monthly_completepayment.click.fail,"year field is required",desktop
121722,2022-12-01,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
122477,2022-09-28,checkout_annual_completepayment.click.fail,"State field is required",desktop
124301,2022-10-06,checkout_monthly_completepayment.click.fail,"number field is required",mobile
125191,2022-12-11,checkout_monthly_completepayment.click.fail,"year field is required",desktop
130021,2022-10-25,checkout_annual_completepayment.click.fail,"number field is required",desktop
132742,2022-11-22,checkout_annual_completepayment.click.fail,"number field is required",desktop
133768,2022-12-02,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
134064,2022-07-06,checkout_monthly_completepayment.click.fail,"number field is required",desktop
135321,2022-07-21,checkout_lifetime_completepayment.click.fail,"number field is required",desktop
135492,2022-07-18,checkout_annual_completepayment.click.fail,"number field is required",desktop
136640,2022-07-29,checkout_annual_completepayment.click.fail,"year field is required",mobile
143012,2022-10-20,checkout_annual_completepayment.click.fail,"number field is required",mobile
143432,2022-07-25,checkout_annual_completepayment.click.fail,"lastName field is required",mobile
143454,2022-09-01,checkout_monthly_completepayment.click.fail,"zip field is required",desktop
143656,2022-08-31,checkout_monthly_completepayment.click.fail,"year field is required",desktop
144179,2022-07-19,checkout_quarterly_completepayment.click.fail,"Your card was declined.",desktop
144679,2022-11-12,checkout_coins_completepayment.click.fail,"number field is required",desktop
145202,2022-11-09,checkout_monthly_completepayment.click.fail,"lastName field is required",desktop
145488,2022-12-22,checkout_annual_completepayment.click.fail,"Your card was declined.",mobile
145723,2022-08-28,checkout_lifetime_completepayment.click.fail,"Your card was declined.",mobile
146322,2023-01-17,checkout_annual_completepayment.click.fail,"month field is required",desktop
146397,2022-08-31,checkout_annual_completepayment.click.fail,"year field is required",mobile
146603,2022-11-18,checkout_quarterly_completepayment.click.fail,"year field is required",desktop
146625,2022-11-29,checkout_annual_completepayment.click.fail,"year field is required",desktop
146991,2022-12-20,checkout_annual_completepayment.click.fail,"year field is required",desktop
147045,2022-08-30,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
147178,2022-08-30,checkout_annual_completepayment.click.fail,"year field is required",mobile
147197,2022-12-06,checkout_monthly_completepayment.click.fail,"cvv field is required",desktop
149325,2022-12-09,checkout_annual_completepayment.click.fail,"number field is required",desktop
149639,2022-10-11,checkout_coins_completepayment.click.fail,"number field is required",mobile
149652,2022-11-17,checkout_annual_completepayment.click.fail,"year field is required",desktop
149950,2022-12-22,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
150335,2023-01-27,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
151197,2022-10-21,checkout_annual_completepayment.click.fail,"month field is required",mobile
152002,2023-01-18,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
152378,2022-11-28,checkout_annual_completepayment.click.fail,"number field is required",desktop
154402,2022-09-19,checkout_annual_completepayment.click.fail,"number field is required",mobile
154821,2022-11-23,checkout_annual_completepayment.click.fail,"number field is required",desktop
155712,2022-09-22,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
156038,2022-08-31,checkout_annual_completepayment.click.fail,"number field is required",desktop
156099,2022-07-06,checkout_monthly_completepayment.click.fail,"number field is required",mobile
156428,2023-01-23,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
156660,2022-10-03,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop
156680,2022-09-12,checkout_lifetime_completepayment.click.fail,"number field is required",desktop
156776,2022-10-21,checkout_annual_completepayment.click.fail,"year field is required",desktop
156795,2022-07-05,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop
157143,2023-01-03,checkout_annual_completepayment.click.fail,"number field is required",desktop
157144,2022-11-26,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",desktop
157808,2022-07-28,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
158196,2022-11-22,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
158211,2022-09-27,checkout_annual_completepayment.click.fail,"year field is required",mobile
158612,2023-01-28,checkout_annual_completepayment.click.fail,"number field is required",desktop
158724,2022-08-04,checkout_monthly_completepayment.click.fail,"Your card has insufficient funds.",desktop
159772,2022-08-29,checkout_annual_completepayment.click.fail,"year field is required",desktop
160366,2022-11-25,checkout_annual_completepayment.click.fail,"number field is required",mobile
161329,2023-01-17,checkout_annual_completepayment.click.fail,"number field is required",desktop
161426,2023-01-08,checkout_monthly_completepayment.click.fail,"Your card is not supported.",desktop
161471,2022-11-28,checkout_annual_completepayment.click.fail,"year field is required",desktop
161714,2022-11-28,checkout_annual_completepayment.click.fail,"Chargify token not found",desktop
161862,2023-01-29,checkout_annual_completepayment.click.fail,"year field is required",desktop
161941,2022-08-15,checkout_monthly_completepayment.click.fail,"Your card is not supported.",desktop
162320,2022-07-01,checkout_monthly_completepayment.click.fail,"State field is required",desktop
163415,2022-09-07,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
163475,2022-11-28,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
163545,2022-11-28,checkout_annual_completepayment.click.fail,"lastName field is required",mobile
163914,2022-09-10,checkout_monthly_completepayment.click.fail,"month field is required",desktop
163918,2022-09-11,checkout_quarterly_completepayment.click.fail,"number field is required",desktop
164133,2022-07-29,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",mobile
164257,2022-11-27,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
164326,2022-11-02,checkout_annual_completepayment.click.fail,"number field is required",desktop
165815,2022-11-28,checkout_annual_completepayment.click.fail,"year field is required",mobile
167101,2022-09-26,checkout_annual_completepayment.click.fail,"year field is required",desktop
167169,2022-11-28,checkout_annual_completepayment.click.fail,"firstName field is required",desktop
167392,2022-08-31,checkout_monthly_completepayment.click.fail,"Your card has insufficient funds.",desktop
167554,2022-10-05,checkout_annual_completepayment.click.fail,"month field is required",mobile
167574,2022-11-28,checkout_annual_completepayment.click.fail,"month field is required",desktop
168059,2022-12-12,checkout_annual_completepayment.click.fail,"number field is required",mobile
169537,2023-01-18,checkout_annual_completepayment.click.fail,"year field is required",desktop
170743,2022-09-21,checkout_annual_completepayment.click.fail,"number field is required",desktop
170750,2022-09-17,checkout_monthly_completepayment.click.fail,"number field is required",desktop
171311,2022-12-22,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
171448,2022-09-27,checkout_lifetime_completepayment.click.fail,"year field is required",desktop
172064,2022-09-15,checkout_monthly_completepayment.click.fail,"year field is required",desktop
172173,2022-11-29,checkout_annual_completepayment.click.fail,"year field is required",desktop
172246,2023-01-04,checkout_monthly_completepayment.click.fail,"lastName field is required",desktop
172289,2022-10-10,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
172440,2022-12-02,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
172487,2022-10-18,checkout_monthly_completepayment.click.fail,"month field is required",desktop
172564,2022-11-25,checkout_annual_completepayment.click.fail,"year field is required",desktop
172599,2022-09-27,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
172788,2022-09-08,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",desktop
172869,2022-07-15,checkout_annual_completepayment.click.fail,"number field is required",desktop
172870,2022-09-20,checkout_lifetime_completepayment.click.fail,"number field is required",desktop
172887,2022-11-25,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",desktop
173561,2022-11-24,checkout_annual_completepayment.click.fail,"number field is required",desktop
173584,2022-11-23,checkout_annual_completepayment.click.fail,"year field is required",desktop
174071,2022-12-17,checkout_annual_completepayment.click.fail,"number field is required",desktop
174551,2022-11-30,checkout_annual_completepayment.click.fail,"year field is required",mobile
174830,2022-09-28,checkout_annual_completepayment.click.fail,"year field is required",mobile
175212,2022-11-22,checkout_annual_completepayment.click.fail,"year field is required",desktop
175300,2022-11-25,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
175418,2022-08-23,checkout_monthly_completepayment.click.fail,"year field is required",mobile
176059,2022-11-28,checkout_annual_completepayment.click.fail,"lastName field is required",mobile
176097,2022-11-02,checkout_annual_completepayment.click.fail,"number field is required",mobile
176127,2022-11-22,checkout_annual_completepayment.click.fail,"number field is required",mobile
176795,2022-07-31,checkout_annual_completepayment.click.fail,"number field is required",desktop
177307,2022-08-20,checkout_quarterly_completepayment.click.fail,"number field is required",desktop
177584,2022-08-03,checkout_monthly_completepayment.click.fail,"year field is required",desktop
178044,2023-01-29,checkout_annual_completepayment.click.fail,"number field is required",desktop
178245,2022-08-03,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop
179898,2022-07-29,checkout_annual_completepayment.click.fail,"number field is required",mobile
180088,2022-12-16,checkout_quarterly_completepayment.click.fail,"number field is required",desktop
180153,2022-10-11,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop
180288,2022-12-14,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
180571,2022-07-18,checkout_annual_completepayment.click.fail,"number field is required",desktop
180735,2022-11-06,checkout_annual_completepayment.click.fail,"number field is required",desktop
181213,2022-11-27,checkout_annual_completepayment.click.fail,"year field is required",desktop
181512,2022-08-17,checkout_data-strategy_completepayment.click.fail,"year field is required",desktop
181830,2022-07-16,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop
182052,2022-11-20,checkout_coins_completepayment.click.fail,"number field is required",desktop
182131,2022-11-02,checkout_annual_completepayment.click.fail,"number field is required",mobile
182297,2022-07-26,checkout_annual_completepayment.click.fail,"year field is required",desktop
182512,2022-11-22,checkout_annual_completepayment.click.fail,"year field is required",desktop
182922,2022-07-27,checkout_monthly_completepayment.click.fail,"number field is required",desktop
183675,2022-11-02,checkout_annual_completepayment.click.fail,"number field is required",mobile
183867,2022-11-22,checkout_annual_completepayment.click.fail,"number field is required",mobile
184533,2022-09-01,checkout_quarterly_completepayment.click.fail,"number field is required",desktop
184569,2022-07-19,checkout_annual_completepayment.click.fail,"number field is required",desktop
184696,2022-11-30,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
185044,2022-11-06,checkout_annual_completepayment.click.fail,"number field is required",desktop
185208,2022-12-31,checkout_annual_completepayment.click.fail,"Your card is not supported.",desktop
185537,2022-11-04,checkout_annual_completepayment.click.fail,"year field is required",desktop
185890,2023-01-19,checkout_annual_completepayment.click.fail,"year field is required",desktop
185935,2022-11-01,checkout_monthly_completepayment.click.fail,"Your card has insufficient funds.",desktop
186061,2022-11-24,checkout_annual_completepayment.click.fail,"firstName field is required",mobile
186186,2022-12-02,checkout_monthly_completepayment.click.fail,"year field is required",desktop
186713,2022-11-02,checkout_annual_completepayment.click.fail,"number field is required",mobile
187901,2022-11-21,checkout_quarterly_completepayment.click.fail,"year field is required",desktop
190742,2022-09-12,checkout_monthly_completepayment.click.fail,"year field is required",desktop
191101,2022-07-22,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
191240,2023-01-05,checkout_machine-learning-process-a-z_completepayment.click.fail,"year field is required",desktop
191666,2022-11-28,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",desktop
191753,2022-08-18,checkout_monthly_completepayment.click.fail,"year field is required",mobile
191879,2022-11-09,checkout_coins_completepayment.click.fail,"number field is required",desktop
193358,2022-11-13,checkout_annual_completepayment.click.fail,"number field is required",desktop
193467,2023-01-28,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
193522,2022-11-27,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",desktop
193700,2022-11-28,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
194043,2022-11-21,checkout_annual_completepayment.click.fail,"year field is required",desktop
195371,2022-11-21,checkout_annual_completepayment.click.fail,"number field is required",mobile
195830,2022-11-28,checkout_annual_completepayment.click.fail,"year field is required",desktop
197203,2022-11-02,checkout_annual_completepayment.click.fail,"number field is required",desktop
197262,2022-09-23,checkout_annual_completepayment.click.fail,"number field is required",desktop
197346,2022-10-17,checkout_coins_completepayment.click.fail,"number field is required",mobile
197428,2022-11-22,checkout_annual_completepayment.click.fail,"number field is required",desktop
197639,2022-08-09,checkout_monthly_completepayment.click.fail,"year field is required",desktop
198273,2022-12-22,checkout_annual_completepayment.click.fail,"number field is required",mobile
198315,2022-11-27,checkout_annual_completepayment.click.fail,"year field is required",desktop
198334,2022-09-24,checkout_annual_completepayment.click.fail,"Your card number is incorrect.",desktop
198890,2022-09-25,checkout_annual_completepayment.click.fail,"year field is required",mobile
199013,2022-09-20,checkout_annual_completepayment.click.fail,"firstName field is required",desktop
199095,2022-11-27,checkout_annual_completepayment.click.fail,"number field is required",desktop
199263,2022-11-02,checkout_annual_completepayment.click.fail,"number field is required",desktop
200231,2022-11-29,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
200422,2022-11-22,checkout_annual_completepayment.click.fail,"year field is required",desktop
201697,2022-07-18,checkout_annual_completepayment.click.fail,"number field is required",mobile
203014,2022-10-24,checkout_monthly_completepayment.click.fail,"year field is required",desktop
203853,2022-12-26,checkout_monthly_completepayment.click.fail,"month field is required",desktop
204298,2022-11-25,checkout_annual_completepayment.click.fail,"year field is required",desktop
205725,2022-11-06,checkout_monthly_completepayment.click.fail,"year field is required",desktop
205862,2022-11-05,checkout_annual_completepayment.click.fail,"number field is required",mobile
206754,2022-11-28,checkout_annual_completepayment.click.fail,"number field is required",desktop
208525,2022-11-08,checkout_annual_completepayment.click.fail,"number field is required",desktop
209054,2022-11-27,checkout_annual_completepayment.click.fail,"year field is required",desktop
209680,2022-11-20,checkout_annual_completepayment.click.fail,"number field is required",desktop
210029,2022-11-04,checkout_annual_completepayment.click.fail,"number field is required",mobile
210377,2022-11-28,checkout_annual_completepayment.click.fail,"year field is required",mobile
211124,2022-09-08,checkout_monthly_completepayment.click.fail,"zip field is required",desktop
211370,2022-08-29,checkout_annual_completepayment.click.fail,"number field is required",mobile
211839,2022-11-22,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",desktop
212681,2022-11-02,checkout_annual_completepayment.click.fail,"number field is required",mobile
212699,2022-11-02,checkout_annual_completepayment.click.fail,"number field is required",mobile
213164,2022-11-23,checkout_annual_completepayment.click.fail,"number field is required",mobile
213211,2022-07-28,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",mobile
213546,2022-07-11,checkout_monthly_completepayment.click.fail,"Your card has insufficient funds.",desktop
214061,2023-01-30,checkout_annual_completepayment.click.fail,"number field is required",desktop
214195,2022-11-10,checkout_annual_completepayment.click.fail,"number field is required",desktop
214361,2022-07-13,checkout_monthly_completepayment.click.fail,"year field is required",mobile
216187,2022-11-23,checkout_monthly_completepayment.click.fail,"lastName field is required",desktop
216478,2022-11-22,checkout_annual_completepayment.click.fail,"year field is required",desktop
217381,2023-01-29,checkout_annual_completepayment.click.fail,"number field is required",mobile
217976,2022-09-10,checkout_monthly_completepayment.click.fail,"Your card does not support this type of purchase.",desktop
218586,2022-11-28,checkout_annual_completepayment.click.fail,"year field is required",desktop
219531,2023-01-21,checkout_annual_completepayment.click.fail,"number field is required",mobile
219854,2022-11-02,checkout_annual_completepayment.click.fail,"number field is required",mobile
219925,2022-08-12,checkout_monthly_completepayment.click.fail,"number field is required",desktop
219993,2022-11-02,checkout_annual_completepayment.click.fail,"number field is required",desktop
220744,2023-01-25,checkout_annual_completepayment.click.fail,"year field is required",desktop
221667,2022-12-21,checkout_annual_completepayment.click.fail,"number field is required",desktop
221898,2022-11-27,checkout_annual_completepayment.click.fail,"year field is required",desktop
222389,2022-12-23,checkout_annual_completepayment.click.fail,"number field is required",desktop
222632,2023-01-07,checkout_lifetime_completepayment.click.fail,"number field is required",desktop
223190,2022-11-03,checkout_annual_completepayment.click.fail,"number field is required",desktop
223232,2022-08-18,checkout_monthly_completepayment.click.fail,"year field is required",desktop
223597,2023-01-15,checkout_monthly_completepayment.click.fail,"lastName field is required",desktop
223865,2023-01-05,checkout_monthly_completepayment.click.fail,"Your card does not support this type of purchase.",desktop
223883,2023-01-10,checkout_monthly_completepayment.click.fail,"lastName field is required",desktop
224015,2022-07-25,checkout_annual_completepayment.click.fail,"State field is required",mobile
224023,2023-01-27,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
224699,2022-11-23,checkout_annual_completepayment.click.fail,"number field is required",desktop
225242,2022-07-28,checkout_annual_completepayment.click.fail,"number field is required",desktop
225285,2022-11-23,checkout_annual_completepayment.click.fail,"number field is required",mobile
226494,2022-11-03,checkout_annual_completepayment.click.fail,"number field is required",desktop
227453,2022-12-01,checkout_quarterly_completepayment.click.fail,"number field is required",desktop
227711,2022-11-29,checkout_annual_completepayment.click.fail,"year field is required",mobile
227778,2022-12-19,checkout_annual_completepayment.click.fail,"year field is required",desktop
227784,2023-01-27,checkout_annual_completepayment.click.fail,"month field is required",desktop
228072,2023-01-31,checkout_annual_completepayment.click.fail,"number field is required",desktop
228489,2022-11-05,checkout_annual_completepayment.click.fail,"number field is required",desktop
228556,2022-11-23,checkout_annual_completepayment.click.fail,"Your card number is incorrect.",desktop
229673,2022-07-25,checkout_annual_completepayment.click.fail,"year field is required",mobile
230033,2022-11-23,checkout_annual_completepayment.click.fail,"year field is required",mobile
230326,2022-11-28,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
230393,2022-12-04,checkout_annual_completepayment.click.fail,"number field is required",mobile
230669,2022-09-28,checkout_annual_completepayment.click.fail,"year field is required",desktop
230826,2022-11-03,checkout_annual_completepayment.click.fail,"number field is required",mobile
230836,2022-11-30,checkout_annual_completepayment.click.fail,"number field is required",mobile
231152,2022-09-29,checkout_annual_completepayment.click.fail,"zip field is required",desktop
232527,2022-09-29,checkout_annual_completepayment.click.fail,"year field is required",desktop
232828,2022-11-26,checkout_monthly_completepayment.click.fail,"number field is required",desktop
233048,2022-09-30,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
233588,2022-12-20,checkout_monthly_completepayment.click.fail,"Your card's security code is incorrect.",desktop
